,Strain,Expansion,Crisis
2011-06-30,0.9080616639836003,0.07264985316386886,0.01928848285252875
2011-07-31,0.929293345142316,1.1082352029055448e-08,0.07070664377532998
2011-08-31,0.9300989500665736,2.884404186666068e-07,0.06990076149300561
2011-09-30,0.9073219213023724,1.5033821822028508e-07,0.09267792835940712
2011-10-31,0.966660647596641,0.013669424652718143,0.019669927750638652
2011-11-30,0.9809416118952269,0.014428485558800174,0.004629902545970654
2011-12-31,0.9836403874624322,0.015273735945948701,0.0010858765916167115
2012-01-31,0.9964541598031557,0.0010659978247409658,0.002479842372100985
2012-02-29,0.9976141354073038,0.0010863781618018807,0.0012994864308916592
2012-03-31,0.9981567407758684,0.0012679538613870616,0.0005753053627419943
2012-04-30,0.9976919373627579,0.0012473266126913013,0.0010607360245482615
2012-05-31,0.9970389190220454,0.002740060762013167,0.00022102021593880687
2012-06-30,0.9991702264266447,5.7211456073389755e-08,0.0008297163618967843
2012-07-31,0.9995826011145782,2.452780725417744e-08,0.0004173743576120593
2012-08-31,0.9992980855502355,6.62277684509918e-10,0.0007019137874845293
2012-09-30,0.9995326089005433,6.960072180285842e-09,0.0004673841393821414
2012-10-31,0.9987071677730751,2.0844337982940806e-09,0.001292830142488854
2012-11-30,0.9979112922015579,3.787350361740058e-07,0.002088329063403928
2012-12-31,0.9936789085639588,3.3765402415821426e-07,0.006320753782015219
2013-01-31,0.6768966333736253,0.3210090016194115,0.002094365006961587
2013-02-28,0.6789941784378313,0.3205487183492949,0.00045710321287219713
2013-03-31,0.6821413257943223,0.31785235194420214,6.322261473835635e-06
2013-04-30,0.001265026597490855,0.9987339763005292,9.9710197812611e-07
2013-05-31,0.0011199034989975752,0.9988797640657455,3.32435254864012e-07
2013-06-30,0.0005123307870617407,0.9994875475916941,1.2162124233971e-07
2013-07-31,0.0005175255429562093,0.9994822776842213,1.9677282061059815e-07
2013-08-31,0.000272835022471337,0.9997270197847706,1.4519275614147177e-07
2013-09-30,0.00023521399531424602,0.9997646964969226,8.950776123418162e-08
2013-10-31,0.0003047113397864637,0.9996947717219228,5.169382886619286e-07
2013-11-30,0.00025095773830337113,0.9997488445633512,1.9769834336288834e-07
2013-12-31,0.00025433884002317044,0.9997456215497319,3.961024302972258e-08
2014-01-31,1.6928602700549544e-05,0.999983047066753,2.4330544697817898e-08
2014-02-28,1.1266804849864088e-05,0.9999887147696099,1.8425538341165552e-08
2014-03-31,9.875147564022541e-06,0.999990104647105,2.0205329082630592e-08
2014-04-30,1.8970182018080763e-05,0.9999809495324388,8.028554128547636e-08
2014-05-31,2.683437440636306e-05,0.999973037550564,1.2807502796487162e-07
2014-06-30,4.828748460848638e-05,0.9999516751716622,3.734372780640472e-08
2014-07-31,2.665666606361953e-06,0.9999973155560593,1.8777332912970025e-08
2014-08-31,1.8255519941390075e-06,0.9999981679175275,6.5304769279297635e-09
2014-09-30,1.25818557718592e-06,0.9999987352435278,6.570893646547629e-09
2014-10-31,4.1026616224283975e-06,0.9999958740629081,2.3275467990549655e-08
2014-11-30,5.1526819888990544e-06,0.999994807043475,4.027453464292464e-08
2014-12-31,9.220716563954345e-06,0.9999907174126778,6.187075660342909e-08
2015-01-31,3.055645396152215e-05,0.999969192659376,2.5088666066399156e-07
2015-02-28,5.349260080700569e-05,0.9999460367767233,4.7062246787965046e-07
2015-03-31,0.00012029502454325092,0.9998788795812721,8.25394183097805e-07
2015-04-30,0.0008084927206869239,0.999184329354525,7.1779247866303215e-06
2015-05-31,0.0008658843577725181,0.9991304106494703,3.704992755724975e-06
2015-06-30,0.0011474132228612161,0.9988458699329351,6.7168442020845295e-06
2015-07-31,0.0024170050090515064,0.9975372793081336,4.5715682813322314e-05
2015-08-31,0.002362964530007124,0.9976082106316363,2.8824838354866875e-05
2015-09-30,0.003005110901671172,0.9969854429477197,9.446150607462503e-06
2015-10-31,0.006063696196134383,0.9939180783555466,1.8225448317664814e-05
2015-11-30,0.021697454282833338,0.9781768926895665,0.00012565302759868423
2015-12-31,0.02385605140513269,0.9759631187127812,0.0001808298820846636
2016-01-31,0.02539935865175425,0.9743285175129659,0.00027212383527828185
2016-02-29,0.034919122970849675,0.9639681729639301,0.001112704065218817
2016-03-31,0.05100478573130875,0.9404974549156243,0.008497759353065616
2016-04-30,0.32165396542596614,0.5762850694356267,0.10206096513840565
2016-05-31,0.822212667893579,3.826670277224614e-13,0.17778733210603692
2016-06-30,0.8192081423868613,1.3672121752667207e-10,0.18079185747641568
2016-07-31,0.8087167097680803,0.17421000490530028,0.017073285326617536
2016-08-31,0.8254073639711444,0.17116575373307633,0.0034268822957772543
2016-09-30,0.8391640257850419,0.1597925186985585,0.00104345551639753
2016-10-31,0.9045364417609657,0.09355129264589232,0.0019122655931395434
2016-11-30,0.9214260468731233,0.07496640903197369,0.003607544094900524
2016-12-31,0.9498177845687075,0.03569379572003492,0.014488419711255368
2017-01-31,0.8604679259664642,0.13730911225967785,0.002222961773855856
2017-02-28,0.8662516293292687,0.1324888287868785,0.0012595418838505438
2017-03-31,0.8705096732452139,0.12894326138106016,0.0005470653737236827
2017-04-30,0.9197372832920487,0.0784943914143353,0.0017683252936136933
2017-05-31,0.9215263624742729,0.07775390152387433,0.0007197360018504249
2017-06-30,0.9261204464901269,0.07270975214055908,0.001169801369311991
2017-07-31,0.9304491620732123,0.06915455043085939,0.00039628749592624587
2017-08-31,0.9608977254530933,0.03837147710588171,0.0007307974410228335
2017-09-30,0.9883922972161361,0.010262296928958754,0.0013454058549027422
2017-10-31,0.05707506345436626,0.9427373374240935,0.0001875991215379972
2017-11-30,0.05766969219668931,0.9421757424342957,0.0001545653690127616
2017-12-31,0.057561812191447806,0.9424227337844586,1.5454024091616144e-05
2018-01-31,0.05852008521324809,0.9414630264557122,1.688833103781515e-05
2018-02-28,0.006383883424532732,0.9936126564128117,3.4601626540812683e-06
2018-03-31,0.00618040695429001,0.9938194677258696,1.253198389410852e-07
2018-04-30,0.00013365121533514212,0.9998663142239138,3.456074951835214e-08
2018-05-31,0.00010047810466366507,0.9998995040000692,1.7895265565327508e-08
2018-06-30,4.093097291754287e-05,0.9999590573984479,1.1628632929449602e-08
2018-07-31,4.070258803394169e-05,0.9999592890940252,8.317939070324529e-09
2018-08-31,8.977689519845631e-06,0.9999910159030444,6.4074340208678016e-09
2018-09-30,5.797215375752109e-06,0.9999941966485854,6.1360369789118555e-09
2018-10-31,3.3278534907407307e-06,0.9999966636053347,8.541172710908933e-09
2018-11-30,3.3137406170952522e-06,0.9999966723429589,1.3916421942611366e-08
2018-12-31,4.507091882658359e-06,0.9999954791887884,1.3719326906357661e-08
2019-01-31,2.261781123936945e-05,0.9999773059943838,7.619437483817475e-08
2019-02-28,3.0328987127758377e-05,0.999969568009046,1.0300382424038849e-07
2019-03-31,4.262972968985826e-05,0.9999571847256965,1.8554461153313106e-07
2019-04-30,9.812606322161012e-05,0.9999008159514531,1.0579853229986988e-06
2019-05-31,0.00011715791874663219,0.9998816747825353,1.1672987156894653e-06
2019-06-30,0.00022830608786998462,0.9997682316218162,3.4622903115504515e-06
2019-07-31,0.000344433386767128,0.9996526903319352,2.8762812956759326e-06
2019-08-31,0.001234062310872437,0.9987582502145774,7.687474547946643e-06
2019-09-30,0.0021384938765951194,0.9978500533321932,1.1452791209591207e-05
2019-10-31,0.009453410426776868,0.9904567449149014,8.984465831964434e-05
2019-11-30,0.011632843999156652,0.9881503879889473,0.00021676801189420193
2019-12-31,0.017260406435481362,0.98123205663569,0.0015075369288267992
2020-01-31,0.05310304773386331,0.9319900715277756,0.014906880738359267
2020-02-29,0.051929796506577544,0.9118685988516017,0.03620160464181888
2020-03-31,0.0498102405884921,0.7632989736077118,0.18689078580379434
2020-04-30,0.007431069377908073,5.431309645129057e-05,0.992514617525639
2020-05-31,1.4425657075224768e-05,2.9947766662232566e-30,0.9999855743429231
2020-06-30,0.007633087070149532,5.017910368555213e-14,0.9923669129297988
2020-07-31,0.18161407899755197,0.00043863633266808026,0.8179472846697784
2020-08-31,0.1680612128156781,2.8368709652738978e-05,0.8319104184746674
2020-09-30,0.15061816286648094,2.76118528960271e-05,0.8493542252806213
2020-10-31,3.935348609445102e-07,1.0898793764898672e-48,0.9999996064651376
2020-11-30,0.0031010945867055574,1.0560964999602347e-11,0.9968989054027321
2020-12-31,0.0038152813388238017,1.6795039241135347e-10,0.9961847184932243
2021-01-31,0.022324056268070665,2.1779144783212646e-11,0.9776759437101489
2021-02-28,0.021766323357336546,1.1129929580847993e-12,0.9782336766415491
2021-03-31,0.03653836067458814,1.0512783840541099e-06,0.9634605880470265
2021-04-30,0.7712020113828331,5.815972105641768e-07,0.2287974070199554
2021-05-31,0.8126664130945179,2.784360930843124e-05,0.18730574329617278
2021-06-30,0.8321003419322643,0.002327029138475981,0.16557262892925906
2021-07-31,0.7962279004418013,2.7874018489180748e-05,0.20374422553970872
2021-08-31,0.924416898266934,0.005048906231628039,0.07053419550143714
2021-09-30,0.9188762673944932,0.019868978695941553,0.061254753909564016
2021-10-31,0.9082130526849699,7.265602234221633e-08,0.09178687465900663
2021-11-30,0.9761467026581805,0.012550733937714059,0.011302563404104397
2021-12-31,0.9831630310544036,0.012507601143410865,0.00432936780218441
2022-01-31,0.9899632677489695,0.003160334739529448,0.006876397511500116
2022-02-28,0.9808735660957423,0.018136606384786872,0.0009898275194697725
2022-03-31,0.9815243063550886,0.018172224134883348,0.0003034695100271526
2022-04-30,0.9816949017576321,0.017533101849855758,0.0007719963925114726
2022-05-31,0.9816770114289867,0.017549120055005335,0.000773868516007393
2022-06-30,0.9807302791760595,0.017445776020579506,0.0018239448033605568
2022-07-31,0.991463057852581,8.258334702585423e-10,0.008536941321585029
2022-08-31,0.999049670523416,1.7566833282521618e-06,0.0009485727932552861
2022-09-30,0.9997878301229453,1.5117533151526743e-06,0.000210658123739146
2022-10-31,0.9995470634977718,1.7682138752626218e-10,0.0004529363254062372
2022-11-30,0.999721080057627,2.2902899107406258e-11,0.00027891991946946387
2022-12-31,0.9998090310100772,9.860261678524292e-12,0.00019096898006204394
2023-01-31,0.9997721873738818,9.1568530719926e-13,0.00022781262520208415
2023-02-28,0.9997563360817354,2.899231442611757e-12,0.0002436639153647253
2023-03-31,0.9996280607571096,8.090903943275018e-12,0.00037193923479866245
2023-04-30,0.9985721231048458,3.2586622372181127e-18,0.0014278768951535065
2023-05-31,0.9995056747637197,5.440379066444489e-10,0.0004943246922417463
2023-06-30,0.9990742905028995,9.073117454667254e-11,0.0009257094063686623
2023-07-31,0.99967078241108,9.774566362633364e-08,0.0003291198432560274
2023-08-31,0.998952702380312,6.398696822976074e-12,0.00104729761328895
2023-09-30,0.9978591221400576,1.1800253475011311e-12,0.0021408778587619403
2023-10-31,0.9978132694087356,6.622586315585529e-07,0.002186068332632439
2023-11-30,0.9936793960969007,1.587277084018501e-08,0.006320588030328233
2023-12-31,0.9797888238108359,1.098040068485382e-10,0.02021117607935992
2024-01-31,0.9718470052769512,0.02664687240963943,0.001506122313409278
2024-02-29,0.9975316510829901,0.0011575037317393137,0.0013108451852705937
2024-03-31,0.9986440345074705,0.0008472417903102031,0.0005087237022192702
2024-04-30,0.9989880036036745,0.0004376087341524361,0.0005743876621729409
2024-05-31,0.9982933300200777,7.420580814035682e-06,0.0016992493991081106
2024-06-30,0.9961387067674535,5.80623608480689e-06,0.003855486996461409
2024-07-31,0.998582776912583,0.0009636619784690482,0.00045356110894766654
2024-08-31,0.9991352098441774,0.0002013021581123679,0.0006634879977097961
2024-09-30,0.9990340653360639,0.00017070850344059538,0.0007952261604948904
2024-10-31,0.07052170689006652,0.9294297700101082,4.8523099825196215e-05
2024-11-30,0.07133318247491606,0.9286239395533795,4.2877971704335535e-05
2024-12-31,0.07143390536359422,0.9285523360533745,1.3758583031263465e-05
2025-01-31,0.07161452894397212,0.9283799015615549,5.569494473001826e-06
2025-02-28,0.0026092359581041764,0.9973893123765764,1.451665319779143e-06
2025-03-31,0.0025608801471938194,0.9974384260867867,6.937660195665399e-07
2025-04-30,0.0025701219224543203,0.9974288462786086,1.0317989371079546e-06
2025-05-31,0.0025734461160335856,0.9974253629464667,1.1909374998615738e-06
2025-06-30,0.0025898899664285636,0.9974080433512748,2.0666822969665868e-06
2025-07-31,0.0014899035341549443,0.9985093686723768,7.27793468454436e-07
2025-08-31,0.0015550803511086351,0.9984436420072482,1.2776416434784373e-06
2025-09-30,0.0016100090562458586,0.9983881114487851,1.879494969298452e-06
2025-10-31,0.0017887396954129713,0.9982035852332005,7.675071386891968e-06
2025-11-30,0.002015716298852217,0.9979473728967342,3.691080441398745e-05
2025-12-31,0.0028663005446791924,0.9968154780686168,0.00031822138670433873
2026-01-31,0.004691749059307098,0.9922165085600203,0.0030917423806730224
2026-02-28,0.9469409637849445,6.546645703231763e-10,0.05305903556039102
2026-03-31,0.9414659918037946,6.588702897900377e-06,0.058527419493307586
