,p_stress_or_crisis,p_crisis,signal_color,cpi_level,cpi_alert
2004-03-31,0.9999999978079996,0.8670140056262918,RED,-0.6048795545291717,False
2004-04-30,0.9999999999999978,0.8710658036925817,RED,0.07261220955869932,False
2004-05-31,0.9979496416995889,0.1427167620901247,YELLOW,-0.32158458774249365,False
2004-06-30,0.9979878693198487,0.10269785524150533,YELLOW,-0.3304264192817266,False
2004-07-31,0.9704597628939059,0.01780930561501194,YELLOW,-0.6509903424747935,False
2004-08-31,0.9708499883729872,0.015155742172050169,YELLOW,-0.6028656565012602,False
2004-09-30,0.9718680133991262,0.02073590645327008,YELLOW,-0.5958549783888225,False
2004-10-31,0.9953768670510132,0.05642359329497654,YELLOW,-0.22655992354291332,False
2004-11-30,0.9958644312669284,0.12315719900711053,YELLOW,-0.11993801789625137,False
2004-12-31,0.9968318497992498,0.3690513663534305,YELLOW,-0.13497486289508367,False
2005-01-31,0.9999999999970935,0.9982363392077864,RED,-1.4540922210891614,False
2005-02-28,0.9999999999999444,0.9985127959150959,RED,-0.776968095670204,False
2005-03-31,0.9999994804200074,0.9916983662118435,RED,-0.7997221504039378,False
2005-04-30,0.9999999999999987,0.9990208748365634,RED,0.08990311549644776,False
2005-05-31,0.99974430657063,0.9007532174799193,RED,-0.6386530653762925,False
2005-06-30,0.9997487305368821,0.9085832434284509,RED,-0.6407051884338387,False
2005-07-31,0.9999999999999987,0.9999796977881231,RED,0.7440166829750275,False
2005-08-31,0.9999993790203571,0.9456227795468388,RED,0.13334082022153826,False
2005-09-30,0.9999996725511003,0.9600885830391264,RED,0.15488939568961518,False
2005-10-31,0.9999999999976052,0.9991711010884484,RED,-1.1807740215737133,False
2005-11-30,0.9999999999999989,0.9999990171385302,RED,0.2196148452821969,False
2005-12-31,0.9999999999999776,0.9924463801845567,RED,0.18464816261952505,False
2006-01-31,0.9999999999999933,0.9950423533730681,RED,0.3539465995295376,False
2006-02-28,0.9999999999999987,0.9999934899192541,RED,-1.530344804462093,False
2006-03-31,0.9999999654128433,0.9905943750258756,RED,-1.498910114342315,False
2006-04-30,0.9999999999999989,0.9999998553404469,RED,0.19004359762879297,False
2006-05-31,0.9999999999999988,0.9971090587646535,RED,0.3347711316235005,False
2006-06-30,0.999999999999017,0.9964631794863884,RED,0.3590835500423782,False
2006-07-31,0.9999675505792315,0.9614058607566196,RED,-0.6074332399029563,False
2006-08-31,0.9999999999944015,0.9702307748526104,RED,0.0718759728756902,False
2006-09-30,0.9999999999460396,0.9683671656469907,RED,0.10710468289765782,False
2006-10-31,0.9967943671813586,0.7543877338938254,RED,-0.6872704999619446,False
2006-11-30,0.9973594379478838,0.7649493010195829,RED,-0.31906941787999377,False
2006-12-31,0.9973738232458953,0.783487775120677,RED,-0.336264279555502,False
2007-01-31,0.9999999999999996,0.9235038119539779,RED,0.6792683846552873,False
2007-02-28,0.9956253239679925,0.25158315508576345,YELLOW,0.19176494814951195,False
2007-03-31,0.995642929513504,0.2305202442918417,YELLOW,0.19660666319418163,False
2007-04-30,0.9839167555927621,0.17670438754536266,YELLOW,-0.1384558505212516,False
2007-05-31,0.9840269878779163,0.19630341088321068,YELLOW,-0.16295194253998116,False
2007-06-30,0.984743477345235,0.2919692792484449,YELLOW,-0.16059809191386007,False
2007-07-31,0.9999999999999986,0.9999978885905803,RED,1.6073011901187175,True
2007-08-31,0.9999999566973725,0.6935286270777754,RED,0.7832711221768578,False
2007-09-30,0.9999999850129324,0.6976558094262432,RED,0.8197499866716561,False
2007-10-31,0.9993561650723577,0.6765769984584749,RED,0.34407810033166064,False
2007-11-30,0.9999999999978578,0.7456710409864927,RED,0.8571068538220824,False
2007-12-31,0.99999999999888,0.7832306402466411,RED,0.8706668702188454,False
2008-01-31,0.9999999999999987,0.9836256908577936,RED,1.869934336379761,True
2008-02-29,0.9999999999999986,0.9825747853387482,RED,2.061944918373499,True
2008-03-31,0.9999999999999988,0.9816499187336781,RED,2.0965415331816373,True
2008-04-30,0.9999999999999988,0.9860777199222,RED,2.403780398648188,True
2008-05-31,0.9999999999999988,0.9901728027447053,RED,2.53425695648097,True
2008-06-30,0.9996720187181078,0.9617798529917199,RED,1.592205895499545,True
2008-07-31,0.9957995788390754,0.8913852614693896,RED,0.803270056353686,False
2008-08-31,0.9999999999999986,0.913517923754494,RED,1.3896088461829714,False
2008-09-30,0.9999999999999972,0.9138474451763673,RED,1.3504637995843145,False
2008-10-31,0.9999999999999987,0.9999999999999987,RED,5.497783130930196,True
2008-11-30,0.9999999999999986,0.9999089918107587,RED,3.2569422038544964,True
2008-12-31,0.9999999999999987,0.9987694563975996,RED,3.3727036428480663,True
2009-01-31,0.9999999999999987,0.9979988192739717,RED,3.4198973770245304,True
2009-02-28,0.9999999999999988,0.9981671414169476,RED,3.504523962326682,True
2009-03-31,0.9999999999999987,0.9989699804768151,RED,3.5376924105801524,True
2009-04-30,0.9999999999999988,0.9999999893935657,RED,1.108656513122385,False
2009-05-31,0.9999999999999986,0.9999999999998942,RED,2.5656491971637965,True
2009-06-30,0.9999999999999986,0.9998869615544624,RED,2.6229407427325975,True
2009-07-31,0.9999999999999987,0.9999999998603941,RED,0.061905480060291916,False
2009-08-31,0.9999999999999986,0.9999999977936171,RED,1.3403430646173706,False
2009-09-30,0.9999999999999987,0.955686876863003,RED,1.2954873960326947,False
2009-10-31,0.99999999999997,0.941199649669561,RED,1.2072198140946522,False
2009-11-30,0.9999999443951544,0.9219664668083739,RED,0.842900262852201,False
2009-12-31,0.9999999938792654,0.9470358125644119,RED,0.7871326109808086,False
2010-01-31,0.9999999999999984,0.9999984067814895,RED,-1.2199267579707553,False
2010-02-28,0.9999999999999982,0.9999713601497905,RED,-0.35251366543299717,False
2010-03-31,0.99999999999498,0.9231868314881535,RED,-0.42595958464242534,False
2010-04-30,0.9992948051539762,0.07703721086546962,YELLOW,-1.0435184014494685,False
2010-05-31,0.9996289625747065,0.06583825150113369,YELLOW,-0.8198211626329084,False
2010-06-30,0.999805707085028,0.05199957961395486,YELLOW,-0.8598396794174145,False
2010-07-31,0.9999152705417436,0.039826440134694774,YELLOW,-1.1121990245185651,False
2010-08-31,0.9936188877906308,0.008730020659957687,YELLOW,-1.5082427345055478,False
2010-09-30,0.9875407742363281,0.0060838284497246875,YELLOW,-1.5243556818400292,False
2010-10-31,0.9999949291885841,0.014786761941292702,YELLOW,-0.8360799596853229,False
2010-11-30,0.9963080550974089,0.002815003531886174,YELLOW,-1.0436910676900155,False
2010-12-31,0.9964069437101134,0.0020030864519567683,YELLOW,-1.0394426571796458,False
2011-01-31,0.9999366967563381,0.005800766886752086,YELLOW,-0.6460220542620584,False
2011-02-28,0.9964625035974227,0.0019192900425349887,YELLOW,-0.9464456931224594,False
2011-03-31,0.9968703714127348,0.002232813639995209,YELLOW,-0.9532799415865951,False
2011-04-30,0.9987449567534646,0.007090379222530558,YELLOW,-0.8094763764555826,False
2011-05-31,0.9354770162397811,0.010874881362017374,YELLOW,-1.1764318234611726,False
