,cac_beta,cac_r2,cac_stderr,cac_zscore
2010-04-30,-0.09367671259637204,0.005453829313549541,0.21694711887096982,-0.1370990398323947
2010-05-31,-0.036373529328914175,0.0007946110955817653,0.2212055685343385,0.04979658403547641
2010-06-30,-0.017098788988249687,0.00017736381584865235,0.22016833846780304,0.11266158411838581
2010-07-31,0.0028738053903228956,5.132988289746621e-06,0.21753625375334978,0.17780265087589503
2010-08-31,0.042269983943733345,0.0012072894034519388,0.2085089071357011,0.30629417523648106
2010-09-30,0.07088005090805742,0.0036242574566051067,0.20155176916670564,0.39960655352516683
2010-10-31,0.0974043366004856,0.0073493126050830915,0.1941394065889488,0.4861161091810603
2010-11-30,0.1226844771587355,0.014042199188901705,0.17630383408710318,0.5685678574382071
2010-12-31,0.16887113084278954,0.027632545537164765,0.17179903225486978,0.7192066694979325
2011-01-31,0.19237595006184832,0.04017967449687643,0.1612512475389838,0.7958681671907186
2011-02-28,0.21164499918623278,0.05566926001798611,0.14949370040564652,0.858714605243448
2011-03-31,0.22936686614649837,0.0644899676292503,0.1498198532872649,0.9165148737936804
2011-04-30,0.21958979137203932,0.061541346142503284,0.14706074557967486,0.8846267240368577
2011-05-31,0.2313574926288145,0.07049040302684861,0.14408078056426896,0.9230073469354239
2011-06-30,0.1977297938781262,0.025726169027408097,0.20868229992573087,0.8133298494756998
2011-07-31,0.11849116162404402,0.0064859330426078055,0.25150537931708483,0.5548912643024806
2011-08-31,0.06757131052011423,0.0020183191396411226,0.2576850653236662,0.3888150221693051
2011-09-30,0.070433612201377,0.0020550218328607706,0.26618622777146317,0.39815048362038746
2011-10-31,0.08301931825790759,0.0030188592018608462,0.2587389114265964,0.4391990476115739
2011-11-30,0.06572310805303444,0.0017188695817732524,0.27163367076319617,0.38278706816356006
2011-12-31,0.06967614086890483,0.0018812646797700117,0.2752395143807714,0.3956799737957647
2012-01-31,0.07823865600531475,0.0024589673602025686,0.2702532500011176,0.42360680991633703
2012-02-29,0.1550111515884488,0.00765362866323771,0.302706281696949,0.6740020347493633
2012-03-31,0.11296651295634229,0.004380389691537978,0.292079187348506,0.5368724981445577
2012-04-30,0.11712313222003769,0.004704721161075565,0.29215427613525957,0.5504294055652792
2012-05-31,0.07528884873180554,0.002074865754104427,0.2831686543184142,0.41398594700372515
2012-06-30,0.6462310814659299,0.01684136190098573,0.8467819249014932,2.2761269083760656
2012-07-31,0.5252802232888663,0.020437303621506198,0.6236715193926634,1.8816429581415932
2012-08-31,0.8451819481376205,0.053125684680169205,0.6119340959039035,2.9250096444731244
2012-09-30,0.8058913865266181,0.04774224666560156,0.6172525432738409,2.7968625921508585
2012-10-31,0.9978310410561931,0.06723517307202875,0.6373901805440734,3.4228781018103445
2012-11-30,0.8382409554590985,0.05649476890093463,0.5874859105827643,2.9023714403988423
2012-12-31,0.817325792669621,0.055637889818097364,0.5774836565749443,2.834156165523226
2013-01-31,0.14649043493694566,0.08760310259053627,0.08107780189906827,0.6462115253294721
2013-02-28,0.14324500463543036,0.0804286440231805,0.08306677913607417,0.6356264812475344
