,credit_pressure_index
2020-10-31,1.3585682092244042
2020-11-30,-0.016923796536670838
2020-12-31,-0.010643252312804446
2021-01-31,-1.2433837053551096
2021-02-28,-0.7457229852054862
2021-03-31,-0.8356273369680596
2021-04-30,-1.6740298714502637
2021-05-31,-1.5101462717464074
2021-06-30,-1.5313814111491622
2021-07-31,-1.0011152592748973
2021-08-31,-1.563866234448873
2021-09-30,-1.5616516834880443
2021-10-31,-0.7140316377098962
2021-11-30,-0.9524793248185284
2021-12-31,-0.9470984606981401
2022-01-31,-0.44076836900625715
2022-02-28,-0.6258299795525117
2022-03-31,-0.6130058659954931
2022-04-30,-0.3343332076702522
2022-05-31,-0.37042702429555807
2022-06-30,-0.3591274237376276
2022-07-31,0.3040512096176366
2022-08-31,0.12510147147767903
2022-09-30,0.14154735543318547
2022-10-31,0.4633202325841126
2022-11-30,0.5042326967596178
2022-12-31,0.5215134306970092
2023-01-31,0.5798852319369909
2023-02-28,0.5962458820015164
2023-03-31,0.6193368050027468
2023-04-30,0.9533108109134157
2023-05-31,0.7732132012091737
2023-06-30,0.8002873397639503
2023-07-31,0.5677572063301874
2023-08-31,0.8035375066333454
2023-09-30,0.8198928376336256
2023-10-31,0.5133424331595074
2023-11-30,0.6016726612255445
2023-12-31,0.6139795629293057
2024-01-31,-0.08959777728390662
2024-02-29,0.13966663180980024
2024-03-31,0.14356445553360367
2024-04-30,0.20157428812884212
2024-05-31,0.3961754715972105
2024-06-30,0.33855170728198664
2024-07-31,-0.08957308058141382
2024-08-31,0.09448580167626146
2024-09-30,0.08557230009014563
2024-10-31,-0.4765718293400784
2024-11-30,-0.23175864070154584
2024-12-31,-0.18021160672537875
2025-01-31,-0.06830455827427429
2025-02-28,-0.35502628373200146
2025-03-31,-0.3636743871403397
2025-04-30,-0.27176195981065815
2025-05-31,-0.2714328393202462
2025-06-30,-0.2734142423183479
2025-07-31,-0.47990332224882254
2025-08-31,-0.37464107437918653
2025-09-30,-0.3806971629052805
2025-10-31,-0.35160429671610827
2025-11-30,-0.4139441332136392
2025-12-31,-0.4164519079731517
2026-01-31,-0.4404550339671257
2026-02-28,0.3627318059088703
2026-03-31,0.21022649783330374
